time,vehicle_id,x,y,speed,angle,power
88,LKW0,1519.09,1097.63,13.89,5.92,8.13
88,LKW1,2243.15,2672.56,13.89,0.39,9.26
88,LKW10,2234.63,437.33,7.8,-5.13,10.64
88,LKW11,1298.76,1892.92,13.81,10.78,8.47
88,LKW12,1163.9,1551.09,13.89,-71.77,11.59
88,LKW13,2785.02,2421.75,13.89,-222.43,9.25
88,LKW14,1445.09,670.87,1.83,-39.52,7.21
88,LKW15,1444.9,675.18,1.3,-39.52,11.69
88,LKW16,1146.27,1757.64,13.89,-260.18,10.2
88,LKW17,1446.93,677.65,1.3,-39.52,8.12
88,LKW18,2782.31,821.13,13.89,-194.77,9.91
88,LKW19,1219.42,1460.9,7.16,-234.0,8.39
88,LKW2,1973.39,2653.03,7.48,64.89,8.84
88,LKW20,1212.76,1464.62,13.89,-54.13,9.55
88,LKW21,1876.28,522.3,13.89,-209.04,10.59
88,LKW22,2230.62,2989.66,13.89,-56.79,7.92
88,LKW23,1279.65,811.5,13.89,-39.52,10.16
88,LKW24,2587.99,1571.48,13.89,-168.59,8.55
88,LKW25,2061.91,1634.52,13.89,-124.49,7.66
88,LKW3,1922.83,1020.87,13.89,-3.42,8.7
88,LKW5,1269.69,1082.04,13.89,2.23,11.27
88,LKW7,1961.07,2453.33,13.89,-215.43,11.67
88,LKW8,2583.2,839.7,0.0,-15.86,9.06
88,LKW9,2407.56,960.14,8.74,64.16,10.78
88,PKW0,1346.63,1212.34,13.89,-175.48,4.36
88,PKW1,1939.04,1949.15,0.0,-54.09,4.77
88,PKW10,1514.24,1184.01,12.4,88.18,3.5
88,PKW100,1922.07,2541.96,13.89,70.8,3.82
88,PKW101,2178.51,476.84,13.89,-175.03,5.39
88,PKW102,2715.06,2479.76,13.89,-218.66,6.62
88,PKW103,3007.2,2101.26,13.89,-24.83,4.21
88,PKW104,2717.33,2011.57,0.0,6.39,4.14
88,PKW105,2760.73,2398.25,13.89,-42.31,6.72
88,PKW106,3031.5,2097.07,13.89,-24.83,6.41
88,PKW107,2218.5,996.59,13.89,-197.82,5.09
88,PKW108,2447.07,1843.76,13.89,-267.84,4.5
88,PKW109,2231.68,995.64,11.11,-198.24,6.87
88,PKW11,2803.38,2413.96,0.0,-88.68,6.52
88,PKW110,1150.15,1734.39,13.88,87.86,6.49
88,PKW111,1664.76,570.34,2.6,-13.37,6.84
88,PKW112,1557.81,919.14,13.89,-244.79,4.55
88,PKW114,1256.01,1398.86,13.89,-54.18,3.93
88,PKW115,2763.93,2070.9,0.0,-113.15,5.62
88,PKW116,1866.93,2179.21,13.89,-269.15,4.52
88,PKW117,2766.93,2077.92,0.0,-113.15,5.92
88,PKW118,1211.83,1086.2,13.89,2.23,5.53
88,PKW119,2566.71,1136.9,13.89,-79.13,6.04
88,PKW12,2199.68,481.61,13.0,-176.44,5.8
88,PKW120,2734.48,2467.95,13.89,-222.43,5.05
88,PKW121,2806.21,2429.6,0.0,-88.68,5.83
88,PKW122,2241.71,995.71,13.89,-198.25,4.4
88,PKW123,2454.07,1990.22,13.89,-159.37,6.59
88,PKW124,2809.41,2429.72,0.0,-88.68,5.76
88,PKW125,1912.61,1798.67,13.89,-14.99,6.74
88,PKW126,1198.2,1079.26,13.89,2.23,6.68
88,PKW127,2803.03,2428.97,0.0,-88.68,5.8
88,PKW128,2861.59,2255.2,0.0,78.43,4.77
88,PKW129,1793.49,1077.01,13.89,-198.53,6.27
88,PKW13,1455.16,1092.46,13.89,2.23,4.81
88,PKW130,1184.2,1081.92,13.89,2.23,6.82
88,PKW131,2762.88,2400.61,13.89,-42.31,5.52
88,PKW132,1176.82,1078.43,13.89,2.23,5.61
88,PKW133,2724.82,2011.68,0.0,-0.25,4.29
88,PKW134,1858.5,2279.7,13.89,-95.2,5.89
88,PKW135,1959.88,479.07,13.89,-207.61,5.17
88,PKW136,3337.74,2006.39,13.89,-184.0,3.79
88,PKW137,1649.69,1877.62,0.0,-28.71,4.64
88,PKW138,2473.03,2000.49,13.89,-163.48,3.67
88,PKW139,1937.99,2695.96,4.8,-34.52,6.22
88,PKW14,1511.17,1183.42,10.75,87.52,5.12
88,PKW140,1979.4,2438.32,13.89,-235.14,3.95
88,PKW141,2486.2,644.53,0.0,-119.19,4.18
88,PKW142,2560.95,1290.98,13.89,-267.95,6.51
88,PKW143,1902.9,1392.81,0.0,-119.59,4.73
88,PKW144,1156.44,1080.84,13.89,2.23,5.15
88,PKW145,1899.16,2505.62,8.96,-109.68,4.41
88,PKW146,1243.49,1416.22,13.89,-54.12,4.35
88,PKW147,1859.75,2258.11,13.89,-95.19,4.49
88,PKW148,1230.98,1433.61,13.89,-54.47,4.47
88,PKW149,1566.59,899.63,13.89,-246.28,5.55
88,PKW15,2899.47,907.9,13.89,-11.77,6.6
88,PKW150,1926.49,446.32,13.89,-44.8,4.29
88,PKW151,1915.01,2711.77,13.89,-36.68,5.16
88,PKW152,1140.86,1854.33,0.0,-260.64,4.35
88,PKW153,1218.64,1451.08,13.89,-54.0,4.47
88,PKW154,1965.47,2651.21,0.86,64.88,6.05
88,PKW155,2566.12,1986.05,13.89,8.5,5.0
88,PKW156,2622.95,846.24,10.4,60.59,5.72
88,PKW157,2732.63,2008.06,0.0,-3.03,5.62
88,PKW158,1905.87,2722.92,13.89,-38.46,5.69
88,PKW159,2664.97,2478.96,13.89,-38.32,4.81
88,PKW16,2569.18,1212.09,10.16,-264.04,5.63
88,PKW160,2661.87,2030.13,13.89,-171.91,6.53
88,PKW161,1908.88,2523.56,13.89,-109.2,5.04
88,PKW162,1575.2,880.05,13.89,-246.28,5.98
88,PKW163,1836.92,1794.93,13.89,-124.82,3.79
88,PKW164,1886.71,2402.56,13.89,79.75,4.95
88,PKW165,2717.7,2008.39,0.0,6.43,3.85
88,PKW166,1897.1,2473.77,1.43,83.98,4.05
88,PKW167,1206.03,1468.44,13.89,-61.99,6.55
88,PKW168,1856.56,2258.4,13.89,-95.19,6.19
88,PKW169,2143.17,1770.57,0.0,-137.09,4.54
88,PKW17,2061.24,1040.95,0.0,-190.28,5.59
88,PKW170,2039.43,1856.22,10.84,-220.96,6.47
88,PKW171,2562.67,1157.91,13.89,-81.79,5.26
88,PKW172,1198.88,1495.72,13.89,-242.25,5.02
88,PKW173,2404.62,943.12,7.41,-197.56,4.36
88,PKW174,2489.86,651.08,0.0,-119.19,4.55
88,PKW175,2566.09,1242.95,13.89,-263.34,5.82
88,PKW176,2801.01,2516.23,13.89,-88.68,5.4
88,PKW177,1934.56,1016.96,13.89,-3.42,6.37
88,PKW178,2109.04,2337.89,13.89,-216.03,5.62
88,PKW179,2220.17,484.01,10.4,-177.1,6.77
88,PKW18,2819.19,2319.85,13.89,-54.81,5.08
88,PKW180,1861.69,2279.41,13.89,-95.2,4.27
88,PKW181,2236.3,2247.41,13.89,-215.59,4.93
88,PKW182,1196.01,1487.42,13.89,-62.26,6.21
88,PKW183,2383.69,949.75,13.89,-197.59,5.12
88,PKW184,2756.18,2448.12,13.89,-222.43,3.61
88,PKW185,1820.31,1059.23,13.89,-193.27,5.13
88,PKW186,2559.98,1179.21,13.89,-82.24,5.44
88,PKW187,2731.74,2466.13,13.89,-222.43,5.36
88,PKW188,2590.54,838.27,0.0,-11.06,5.21
88,PKW189,1272.08,1377.36,13.89,-52.59,6.45
88,PKW19,2468.24,610.96,7.8,-117.16,6.62
88,PKW190,2497.29,664.38,10.62,-119.19,4.66
88,PKW191,2800.05,2557.91,13.89,-88.68,6.38
88,PKW192,2860.08,2247.85,0.0,78.43,4.21
88,PKW193,1893.1,2466.29,10.69,82.44,4.41
88,PKW194,1881.86,2376.65,13.89,79.32,4.6
88,PKW195,2418.74,938.26,7.41,-198.98,5.33
88,PKW196,2147.7,2309.77,9.39,-216.03,5.56
88,PKW197,2415.21,936.14,13.89,-199.91,5.02
88,PKW198,2822.85,2532.98,13.89,-268.75,4.15
88,PKW199,2431.8,930.59,7.43,-197.83,5.03
88,PKW2,1496.79,1098.05,13.89,9.92,4.53
88,PKW20,2241.03,2675.75,13.89,0.39,4.37
88,PKW200,2493.74,2005.99,13.89,-168.88,6.38
88,PKW201,2556.39,1221.79,13.0,-87.2,6.44
88,PKW202,1635.04,1080.4,13.89,-16.2,4.43
88,PKW203,3504.02,1994.75,13.89,-184.0,3.67
88,PKW204,2940.34,2132.2,13.89,-43.18,5.22
88,PKW205,1186.02,1506.42,13.89,-63.01,4.13
88,PKW206,2614.16,830.65,7.8,60.59,4.52
88,PKW207,2598.55,839.96,0.0,-11.07,5.69
88,PKW208,1476.44,1182.96,0.0,-36.84,5.6
88,PKW209,2471.04,1617.64,13.89,-249.88,5.89
88,PKW21,1458.62,1095.86,10.86,2.9,6.35
88,PKW210,1321.81,1899.95,13.89,18.35,5.51
88,PKW211,1583.82,860.48,13.89,-246.31,6.76
88,PKW212,1144.82,1633.26,1.62,12.09,5.71
88,PKW214,2798.77,2613.49,13.89,-88.68,4.42
88,PKW215,2497.16,2619.22,13.89,-32.57,5.97
88,PKW216,2579.64,2548.73,13.89,-39.77,6.01
88,PKW217,2557.78,1200.59,13.89,-86.26,4.07
88,PKW218,2916.54,2166.36,13.89,-56.7,4.31
88,PKW219,2468.93,921.61,13.89,-198.65,5.45
88,PKW22,1819.91,1221.7,13.89,63.83,4.09
88,PKW220,962.24,1070.08,13.89,2.23,5.87
88,PKW221,2861.09,2262.82,3.18,64.79,5.88
88,PKW222,2576.65,844.92,0.0,-23.13,5.09
88,PKW223,2466.3,891.12,5.2,-20.12,4.29
88,PKW224,2387.66,908.9,0.0,82.86,5.22
88,PKW225,1467.85,657.12,7.8,-36.09,4.22
88,PKW226,948.24,1072.74,13.89,2.23,6.39
88,PKW227,1923.34,2573.23,13.89,-110.29,4.78
88,PKW228,1135.88,1631.52,0.0,9.67,5.7
88,PKW229,934.49,1069.0,13.89,2.23,5.81
88,PKW23,2821.84,2321.66,13.89,-54.83,5.62
88,PKW230,1903.13,1373.82,0.0,60.21,6.97
88,PKW231,2082.27,1040.39,9.63,-190.31,3.96
88,PKW232,2495.24,912.64,13.89,-198.95,5.45
