time,vehicle_id,x,y,speed,angle,power
416,LKW100,2432.88,926.89,7.8,-197.86,7.03
416,LKW101,1144.78,1077.18,13.89,2.23,7.41
416,LKW102,1875.09,1832.39,11.7,54.95,8.17
416,LKW103,2449.36,921.46,6.5,-198.67,11.59
416,LKW104,1132.79,1844.27,0.0,-260.58,7.76
416,LKW105,2498.04,911.68,6.42,-198.95,9.8
416,LKW106,1160.42,1562.05,13.89,-74.15,9.37
416,LKW107,1152.27,1615.41,13.89,-79.58,9.25
416,LKW108,2136.66,2317.81,13.89,-216.03,8.23
416,LKW109,2894.98,2267.94,0.0,-251.91,7.75
416,LKW110,1127.76,1751.6,13.89,-71.45,7.37
416,LKW111,2199.62,1002.65,13.89,-197.8,7.28
416,LKW112,2793.34,2986.83,13.89,-88.68,11.76
416,LKW113,561.84,1054.51,13.89,2.23,11.83
416,LKW114,1088.63,1940.14,13.89,-75.61,9.12
416,LKW115,464.68,1050.73,13.89,2.23,11.6
416,LKW116,2998.03,767.57,13.89,-194.77,8.37
416,LKW117,2791.09,3223.02,13.89,-88.68,11.17
416,LKW33,2601.33,853.05,0.0,-7.64,8.93
416,LKW50,595.57,1068.63,13.89,-177.77,10.73
416,LKW54,2474.94,884.47,13.08,-20.6,8.05
416,LKW56,2433.78,903.03,13.0,-19.01,9.43
416,LKW58,2485.39,1730.97,9.07,0.26,9.84
416,LKW61,1836.34,1788.25,1.97,51.25,10.24
416,LKW62,1546.83,1132.63,5.82,-36.55,8.38
416,LKW64,1881.26,2031.01,10.29,-54.56,7.28
416,LKW65,2728.8,1950.44,12.86,-100.4,7.28
416,LKW66,1293.82,1364.74,13.89,-230.07,7.84
416,LKW69,2312.85,947.3,3.9,-18.46,11.39
416,LKW72,2591.9,854.32,0.0,-9.91,7.08
416,LKW74,1506.14,3052.71,13.89,-218.46,11.13
416,LKW76,2475.57,524.06,13.89,3.72,10.55
416,LKW78,2027.6,1017.89,5.2,-3.7,8.91
416,LKW80,1465.85,1225.95,13.89,-213.16,10.27
416,LKW82,2333.48,933.55,6.25,-18.76,11.71
416,LKW83,2802.16,2466.49,0.0,-88.68,9.88
416,LKW84,1934.78,1023.36,13.89,-3.42,7.96
416,LKW85,1974.46,2655.32,0.0,64.89,10.24
416,LKW87,1688.96,1061.86,13.89,-17.19,8.7
416,LKW89,2323.53,968.93,13.89,-197.69,9.88
416,LKW90,2365.62,456.33,13.89,39.51,10.88
416,LKW91,1815.76,1805.42,0.0,-19.16,10.17
416,LKW92,3036.59,729.0,13.89,-14.88,10.25
416,LKW93,1459.13,1234.17,13.89,-213.16,11.25
416,LKW94,1831.91,1803.27,1.3,-18.66,7.99
416,LKW95,1425.25,1088.09,6.39,2.23,10.63
416,LKW96,2136.99,1719.95,13.0,69.07,10.13
416,LKW97,2808.36,2475.18,0.0,-88.68,8.81
416,LKW98,2599.21,843.09,0.0,-11.07,8.47
416,LKW99,2116.89,471.46,0.0,-174.95,11.59
416,PKW1011,1703.61,1560.55,13.89,-117.52,5.08
416,PKW1023,1769.52,2277.98,13.89,-185.34,3.94
416,PKW1026,2361.55,927.58,7.8,-17.95,4.89
416,PKW1031,1649.69,1877.62,0.0,-28.71,6.82
416,PKW1032,1126.45,1890.51,9.46,-192.14,5.59
416,PKW1034,1153.03,1650.21,13.89,-261.38,4.3
416,PKW1035,2000.89,2713.3,6.05,71.92,3.92
416,PKW1041,1147.38,1692.66,13.89,-262.42,6.08
416,PKW1043,2475.35,624.84,0.0,-117.75,4.01
416,PKW1047,2371.69,920.93,12.98,-17.94,6.5
416,PKW1053,1770.38,1125.36,0.0,-119.06,3.54
416,PKW1064,1762.35,1112.86,0.0,-122.69,6.74
