time,vehicle_id,x,y,speed,angle,power
600,LKW101,2902.69,757.96,13.89,-14.88,7.41
600,LKW107,459.36,1063.33,13.89,-177.77,9.25
600,LKW108,1426.68,1937.7,8.33,82.26,8.23
600,LKW109,2328.73,2682.75,0.0,-180.37,7.75
600,LKW113,2414.59,912.98,13.89,-19.62,11.83
600,LKW115,2375.65,919.63,8.64,-18.09,11.6
600,LKW116,1616.04,1124.56,13.89,-206.85,8.37
600,LKW117,2795.77,2376.94,9.1,-98.2,11.17
600,LKW122,2606.56,818.05,0.0,57.28,11.26
600,LKW123,2078.61,1657.84,13.89,-114.92,10.73
600,LKW125,1217.93,1092.84,13.89,-177.77,9.57
600,LKW126,1151.67,1659.72,13.89,-261.96,11.82
600,LKW128,2817.74,2766.15,13.89,-268.75,9.45
600,LKW129,2282.42,2672.81,0.0,0.23,11.82
600,LKW130,2864.11,2261.71,0.0,68.25,9.27
600,LKW136,1864.55,2336.62,13.89,-100.7,10.03
600,LKW137,1414.16,3125.77,13.89,-218.46,8.86
600,LKW138,2256.26,959.43,13.89,-18.43,10.97
600,LKW139,1470.85,1125.55,0.0,-116.93,9.27
600,LKW140,1277.43,1909.22,13.89,-176.14,9.08
600,LKW141,1258.27,837.72,13.89,-219.33,9.99
600,LKW142,1952.92,2631.99,0.0,67.03,7.2
600,LKW143,3060.6,716.01,13.89,-14.88,9.89
600,LKW144,2152.09,1023.34,13.34,-195.56,11.04
600,LKW145,2566.7,752.77,0.0,63.5,11.65
600,LKW146,1464.29,1089.93,7.89,4.82,8.95
600,LKW147,2866.65,1732.72,13.89,0.26,8.16
600,LKW148,2210.35,1002.57,13.57,-197.81,8.05
600,LKW149,1140.31,1818.53,13.89,-261.33,10.66
600,LKW151,3152.32,2037.63,13.89,-24.83,7.8
600,LKW152,1869.43,491.28,2.73,-26.23,11.07
600,LKW153,2798.43,2153.86,0.0,-109.52,7.57
600,LKW154,2321.62,969.54,13.89,-197.69,7.77
600,LKW155,2629.65,857.58,0.0,-150.63,10.3
600,LKW156,2037.86,1857.59,9.05,-220.96,7.95
600,LKW157,1784.17,2811.41,13.89,-38.46,9.57
600,LKW158,2552.36,724.02,0.0,63.5,11.27
600,LKW159,2886.83,2312.69,0.0,-143.5,9.26
600,LKW160,825.3,1071.16,13.89,2.23,8.93
600,LKW161,1582.89,593.71,13.89,-23.26,8.83
600,LKW162,2072.74,1827.31,13.89,-220.97,11.52
600,LKW163,1120.93,1778.03,13.89,-75.0,10.76
600,LKW164,2814.67,2189.58,0.0,-112.9,11.08
600,LKW165,1442.69,1906.02,13.0,7.86,9.3
600,LKW166,2992.07,2137.41,13.89,-205.28,7.89
600,LKW167,4028.47,1958.03,13.89,-184.0,7.15
600,LKW168,2984.59,771.11,13.89,-194.77,9.15
600,LKW169,2299.63,951.71,11.73,-18.46,9.23
600,LKW170,2220.36,1101.67,8.33,-64.57,8.05
600,LKW62,3036.64,728.99,13.89,-14.88,8.38
600,LKW96,1073.28,2090.11,13.89,-255.61,10.13
600,PKW1179,2004.48,2702.94,0.0,-185.58,5.17
600,PKW1186,1146.86,1774.95,13.89,66.99,5.72
600,PKW1188,1728.27,2872.17,13.89,-218.46,3.99
600,PKW1222,3280.37,1971.97,13.89,-3.65,5.58
600,PKW1251,2563.56,1264.6,13.89,-263.34,6.26
600,PKW1258,1491.77,682.67,0.0,-136.26,5.44
600,PKW1290,2004.17,2699.76,0.0,-185.58,4.41
600,PKW1375,2469.56,893.32,2.6,-20.27,6.34
600,PKW1385,2011.93,2702.22,0.0,-185.58,3.94
600,PKW1388,3280.18,1968.77,13.89,-3.65,3.7
600,PKW1395,1965.47,2651.21,0.0,64.88,3.74
600,PKW1396,2011.63,2699.03,0.0,-185.58,4.06
600,PKW1431,2034.12,1096.24,8.33,-256.25,5.16
600,PKW1433,1754.33,1100.35,0.0,-122.69,4.38
600,PKW1436,1248.14,1420.7,3.37,-234.19,5.94
600,PKW1484,2019.39,2701.49,0.0,-185.58,5.66
600,PKW1507,3060.21,722.73,13.89,-14.88,5.06
600,PKW1531,871.92,1076.17,13.89,-177.77,6.45
600,PKW1610,3037.89,722.04,13.89,-14.88,4.32
600,PKW1642,2188.73,1758.79,13.89,50.22,5.23
600,PKW1655,4158.48,1912.68,13.89,-3.65,6.9
600,PKW1671,2055.09,430.08,12.3,3.66,4.0
600,PKW1672,1744.96,2863.0,13.89,-218.46,4.46
600,PKW1691,2019.09,2698.3,0.0,-185.58,3.57
600,PKW1697,2123.71,1681.04,0.0,48.86,5.07
600,PKW1710,2561.39,1283.18,11.24,-263.34,5.11
600,PKW1726,1882.57,2380.38,13.89,79.3,5.57
600,PKW1741,2118.6,1675.19,0.0,48.86,4.85
600,PKW1748,2992.94,733.98,13.89,-14.88,4.62
600,PKW1764,1951.57,1948.7,13.89,-202.07,6.94
600,PKW1766,1240.74,1436.47,7.8,-234.51,5.97
600,PKW1801,4181.15,1911.23,13.89,-3.65,4.99
600,PKW1805,1758.34,1106.61,0.0,-122.69,4.54
600,PKW1810,1831.31,1806.8,0.0,-19.16,6.12
600,PKW1813,2014.54,1015.5,0.0,-2.16,4.37
600,PKW1820,3013.11,731.93,13.89,-14.88,5.53
600,PKW1823,1874.42,2337.13,13.89,84.17,5.9
600,PKW1831,3013.61,728.49,13.89,-14.88,4.92
600,PKW1843,2926.26,751.69,13.89,-14.88,6.12
600,PKW1858,3096.31,706.52,13.89,-14.88,3.92
600,PKW1865,2229.42,1609.37,13.89,-43.74,6.96
600,PKW1868,2213.97,1624.16,13.89,-43.74,5.44
600,PKW1876,2793.42,2139.73,0.0,-109.52,3.64
600,PKW1881,3365.96,1969.71,13.89,-3.65,6.05
600,PKW1889,1907.2,1407.5,0.0,-124.74,4.22
600,PKW1914,1878.61,2359.36,13.89,79.34,5.89
600,PKW1916,2806.99,2176.94,0.0,-138.68,5.86
600,PKW1918,1149.23,1703.02,13.89,80.84,5.67
600,PKW1926,1576.74,1892.4,13.89,-10.24,6.29
600,PKW1929,1254.5,1411.88,2.6,-234.19,3.85
600,PKW1936,2231.64,1611.68,13.89,-43.74,5.7
600,PKW1946,2732.63,2008.06,0.0,-3.03,5.08
600,PKW1951,1010.8,1604.91,8.33,-163.9,5.15
600,PKW1958,1213.03,878.93,13.89,-219.33,3.78
600,PKW1962,1966.54,2661.85,2.6,68.88,5.95
600,PKW1975,2034.29,2700.03,0.05,-185.58,3.6
600,PKW1980,1137.76,1853.41,0.0,-260.64,4.13
600,PKW1991,4102.22,1919.48,13.89,-3.65,4.51
600,PKW2009,2973.08,742.56,13.89,-14.88,5.98
600,PKW2014,1144.6,1831.74,0.0,-260.58,4.2
600,PKW2018,1140.86,1854.33,0.0,-260.64,6.1
600,PKW2019,3035.11,726.09,13.89,-14.88,5.12
600,PKW2023,2457.88,890.8,0.0,-20.1,4.28
600,PKW2026,2763.17,2396.02,0.0,-42.31,5.45
600,PKW2032,1238.35,1431.68,0.0,-216.08,6.62
600,PKW2035,1147.08,1816.62,0.0,-261.47,5.83
600,PKW2037,1510.92,1210.73,0.0,-119.89,4.03
600,PKW2038,2123.59,1714.89,6.1,5.17,3.74
600,PKW2039,2778.29,2390.37,0.0,-46.89,5.79
600,PKW2042,2074.06,1045.13,8.81,-190.32,6.06
600,PKW2049,2606.68,812.34,0.0,57.29,5.24
600,PKW2059,1219.45,869.54,13.89,-219.33,5.38
600,PKW2062,2460.08,896.81,0.0,-20.1,4.09
600,PKW2065,2601.98,856.19,0.0,-7.68,4.26
600,PKW2076,1628.97,2955.14,13.89,-218.46,5.48
600,PKW2079,2795.92,2146.8,0.0,-109.52,5.48
600,PKW2083,2760.93,2063.89,0.0,-113.15,6.38
600,PKW2086,1595.65,2981.61,13.89,-218.46,6.96
600,PKW2089,2026.84,2700.76,0.0,-185.58,6.88
600,PKW2092,2058.12,1617.7,13.78,55.51,4.48
600,PKW2100,3055.78,720.6,13.89,-14.88,5.64
600,PKW2101,1300.68,1911.26,13.89,-169.47,5.15
600,PKW2103,1321.81,1914.63,13.89,-177.23,6.75
600,PKW2105,1928.9,1797.58,13.89,-15.12,6.61
600,PKW2107,1711.98,2889.2,13.89,-218.46,5.0
600,PKW2109,1343.18,1915.52,13.89,-185.42,3.91
600,PKW2118,2458.98,893.8,0.0,-20.12,3.7
600,PKW2119,2070.55,1042.52,11.18,-190.29,5.78
600,PKW2122,2809.0,3165.39,13.89,-268.75,5.39
600,PKW2128,1146.92,1753.88,13.89,-260.18,3.7
600,PKW2130,2453.03,899.39,0.0,-20.1,5.54
600,PKW2131,2090.17,1042.2,13.31,-192.76,5.66
600,PKW2132,2198.91,1776.01,13.89,50.22,5.14
600,PKW2135,2443.79,895.96,0.16,-20.1,4.16
600,PKW2138,2445.99,901.97,0.09,-20.1,4.4
600,PKW2142,2444.89,898.96,0.0,-20.12,4.08
600,PKW2147,2763.93,2070.9,0.0,-113.15,4.36
600,PKW2148,3301.72,1970.61,13.89,-3.65,4.65
600,PKW2149,1227.86,1449.27,10.4,-235.06,4.18
600,PKW2151,3386.91,1961.96,13.89,-3.65,6.37
600,PKW2152,1521.65,1195.29,12.85,-242.5,3.64
600,PKW2155,2451.93,896.38,0.0,-20.12,5.47
600,PKW2160,2436.59,898.59,4.66,-20.18,4.71
600,PKW2161,1903.13,1373.82,0.0,60.21,5.12
600,PKW2162,1863.67,1821.04,9.13,-119.71,6.52
600,PKW2164,2804.14,2169.98,0.0,-109.52,6.7
600,PKW2165,2801.64,2162.91,0.0,-109.52,3.84
600,PKW2167,2809.47,3144.0,13.89,-268.75,4.54
600,PKW2168,914.54,1081.04,13.89,-177.77,4.42
600,PKW2170,3322.87,1966.05,13.89,-3.65,5.9
600,PKW2174,871.79,1079.37,13.89,-177.77,4.81
600,PKW2175,1535.53,1180.89,12.85,-214.15,3.98
600,PKW2177,2757.62,2401.07,0.0,-42.31,6.9
600,PKW2179,2321.23,2682.75,0.0,-179.86,6.39
600,PKW2186,2768.72,2390.98,0.0,-42.31,4.1
600,PKW2189,2313.73,2682.55,0.0,-178.46,5.97
600,PKW2194,2560.96,1297.44,6.74,89.37,4.31
600,PKW2195,2438.86,904.58,4.59,-20.22,4.2
600,PKW2197,2378.27,883.67,13.84,-129.46,3.84
600,PKW2199,1529.12,1173.58,13.89,-214.03,4.1
600,PKW2206,1996.56,2702.27,13.89,66.41,5.08
600,PKW2207,2117.7,1683.88,0.0,48.85,5.21
600,PKW2210,1691.52,1529.56,13.89,62.47,5.12
600,PKW2213,2120.7,1682.46,0.0,48.86,5.84
600,PKW2215,1235.0,860.92,13.89,-219.33,4.03
600,PKW2218,1841.58,1784.54,0.0,51.26,5.23
600,PKW2219,1916.04,1992.79,13.89,-234.84,5.42
600,PKW2221,1923.92,2479.76,0.0,-215.43,4.55
600,PKW2224,2345.58,2682.61,0.0,-180.62,3.85
600,PKW2227,2809.94,3122.62,13.89,-268.75,6.38
600,PKW2228,2778.23,2097.38,0.0,-110.07,3.88
600,PKW2230,1986.04,1917.11,13.89,-260.34,6.71
600,PKW2231,2115.71,1676.74,0.0,48.86,6.6
600,PKW2232,1915.95,2481.5,0.0,-215.42,3.56
600,PKW2234,2400.23,911.44,13.88,-18.98,6.91
600,PKW2235,3365.76,1966.52,13.89,-3.65,5.75
600,PKW2236,2970.3,739.99,13.89,-14.88,4.32
600,PKW2241,2358.46,925.21,9.03,-17.94,6.96
600,PKW2243,1946.94,1936.1,0.0,-165.02,5.11
600,PKW2244,1914.66,1798.11,13.89,-15.18,6.93
600,PKW2245,2773.03,2395.7,0.0,-42.31,5.53
600,PKW2247,1618.09,1112.2,13.89,-190.6,5.36
600,PKW2248,2810.4,3101.23,13.89,-268.75,6.75
600,PKW2252,2137.56,1717.24,6.8,17.87,6.94
600,PKW2253,1794.46,565.09,0.0,-208.14,5.87
600,PKW2260,2423.35,1983.88,0.0,-153.48,4.86
600,PKW2262,1787.85,568.63,0.0,-208.14,6.7
600,PKW2265,1567.85,1157.58,13.89,-208.14,6.37
600,PKW2269,2368.35,925.38,13.89,-17.95,6.23
600,PKW2270,2313.82,2679.35,0.0,-178.46,4.49
600,PKW2272,2810.87,3079.84,13.89,-268.75,4.41
600,PKW2275,2377.74,925.7,13.89,-17.97,5.61
600,PKW2276,2353.1,2682.42,0.0,-183.4,4.91
600,PKW2277,2766.93,2077.92,0.0,-113.15,4.38
600,PKW2279,1917.81,2484.11,0.0,-215.43,6.05
600,PKW2282,1257.09,1413.77,2.6,-234.19,6.9
600,PKW2285,2344.47,933.2,13.89,-18.76,6.4
600,PKW2286,2946.94,746.2,13.89,-14.88,3.71
600,PKW2287,2342.7,930.42,11.94,-18.76,4.93
600,PKW2288,2432.68,1981.27,0.0,-156.15,6.94
600,PKW2289,2776.13,2388.0,0.0,-46.99,5.04
600,PKW2290,2430.28,1986.69,0.0,-184.71,5.77
600,PKW2292,2357.39,932.29,13.89,-17.94,5.88
600,PKW2293,2008.16,2743.58,13.89,70.61,6.91
600,PKW2297,1900.35,1375.41,0.0,60.21,4.73
600,PKW2301,1786.34,565.81,0.0,-208.14,4.29
600,PKW2302,1873.71,2305.66,13.89,84.81,4.79
600,PKW2303,2770.87,2393.34,0.0,-42.31,4.81
600,PKW2304,2783.37,2111.47,0.0,-109.76,3.7
600,PKW2306,2337.15,939.06,13.89,-18.75,4.7
600,PKW2307,2458.94,1995.47,0.0,-159.38,6.55
600,PKW2308,3237.69,1974.7,13.89,-3.65,6.98
600,PKW2309,2070.04,1635.05,13.89,55.51,4.78
600,PKW2310,1899.41,1367.32,0.0,60.02,6.42
600,PKW2311,1681.31,1510.83,13.89,62.42,4.72
600,PKW2316,2561.91,1313.95,0.0,86.81,6.42
600,PKW2317,2811.34,3058.46,13.89,-268.75,6.25
600,PKW2320,1513.7,1209.13,0.0,-119.89,4.32
600,PKW2321,1566.66,1154.59,13.89,-208.14,5.71
600,PKW2323,2444.94,1990.01,0.0,-157.24,6.2
600,PKW2325,2438.02,1987.09,0.0,-157.18,6.92
600,PKW2328,2321.32,2679.55,0.0,-179.86,6.63
600,PKW2329,1906.55,1399.36,0.0,-117.6,3.53
600,PKW2331,1828.48,1783.84,13.89,-128.54,4.01
600,PKW2332,1554.56,1111.43,13.89,-171.44,6.28
600,PKW2334,2803.55,2348.4,13.89,-65.54,5.38
600,PKW2336,1720.37,1082.51,13.88,-192.59,5.94
600,PKW2338,2811.88,3033.78,13.89,-268.75,5.29
600,PKW2339,1637.73,1115.76,13.89,-196.48,6.71
600,PKW2340,1145.85,1824.22,0.0,-260.58,5.5
600,PKW2343,2304.21,943.44,13.63,-18.45,6.46
600,PKW2345,2284.16,950.13,13.55,-18.48,4.75
600,PKW2346,2806.21,2350.18,13.89,-65.54,3.51
600,PKW2347,3280.54,1975.16,13.89,-3.65,6.34
600,PKW2348,2465.97,1998.12,0.0,-160.49,4.68
600,PKW2349,1364.21,1916.06,13.89,-191.9,4.12
600,PKW2351,2001.06,2723.41,13.89,70.61,4.76
600,PKW2352,1962.55,2652.53,0.0,64.88,6.2
600,PKW2357,1639.22,1108.5,13.89,-195.5,3.61
600,PKW2359,2316.89,945.94,13.89,-18.57,4.29
600,PKW2360,2424.62,1980.94,0.0,-153.52,6.5
600,PKW2361,2360.61,2681.98,0.0,-183.4,5.18
600,PKW2362,2766.48,2401.66,5.85,-42.31,5.72
600,PKW2363,2813.33,2967.79,13.89,-268.75,6.91
600,PKW2364,2769.93,2084.93,0.0,-122.83,5.48
600,PKW2367,2861.09,2262.82,0.0,64.79,6.19
600,PKW2370,2812.39,3010.7,13.89,-268.75,5.38
600,PKW2372,1490.78,1104.81,13.89,-175.4,4.2
600,PKW2374,1575.97,1114.6,13.89,-172.0,6.56
600,PKW2375,1887.7,1802.45,12.7,-7.99,4.68
600,PKW2378,2151.15,1773.61,0.0,-137.09,6.14
600,PKW2380,1731.59,598.49,10.4,-202.81,5.83
600,PKW2382,1779.72,569.34,0.0,-208.14,6.31
600,PKW2383,1533.31,1109.01,13.89,-173.7,5.63
600,PKW2384,1150.08,1732.41,13.89,87.86,6.6
600,PKW2385,2797.47,2369.11,13.89,-97.26,4.84
600,PKW2386,2031.85,2697.06,9.42,-185.58,5.53
600,PKW2387,1954.19,1938.03,0.0,-182.95,6.11
600,PKW2390,2473.1,2000.51,0.0,-163.48,4.36
600,PKW2392,2324.3,936.67,13.69,-18.76,4.88
600,PKW2394,1420.75,1221.76,7.51,-175.76,4.49
600,PKW2395,2338.18,2682.68,0.0,-180.53,6.36
600,PKW2398,2788.41,2125.6,0.0,-109.52,3.97
600,PKW2403,1271.31,3239.25,13.89,-218.46,5.89
600,PKW2404,1891.3,1867.29,13.89,-124.99,3.6
600,PKW2405,1622.41,1124.89,13.89,-205.97,4.44
600,PKW2408,2879.99,763.99,13.89,-14.88,6.97
600,PKW2410,2800.03,2395.91,7.8,-103.83,6.14
600,PKW2411,1597.53,1116.18,13.89,-184.29,5.58
600,PKW2412,1792.95,562.27,0.0,-208.14,6.81
600,PKW2413,1251.55,847.36,13.89,-219.33,4.15
600,PKW2417,1504.23,699.53,0.0,-134.83,4.3
600,PKW2418,1288.53,3225.58,13.89,-218.46,6.73
600,PKW2420,1496.95,687.66,0.0,-134.81,5.96
600,PKW2424,1603.51,1134.89,13.89,-208.15,5.92
600,PKW2425,2368.1,2681.55,0.0,-183.06,4.51
600,PKW2429,1914.1,2478.89,0.0,-215.42,3.65
600,PKW2430,1608.02,1370.65,13.89,62.34,4.57
600,PKW2431,1801.08,561.55,0.0,-208.14,6.06
600,PKW2433,1920.21,2474.54,0.0,-215.42,3.57
600,PKW2436,1737.91,1085.91,13.89,-179.94,5.74
600,PKW2438,1959.34,2645.68,0.0,64.88,4.12
600,PKW2439,2732.31,2011.28,1.08,-3.04,5.24
600,PKW2441,2542.96,2580.01,13.89,-41.76,4.27
600,PKW2442,2993.26,740.52,13.89,-14.88,6.85
600,PKW2443,2814.75,2902.7,13.89,-268.75,5.92
600,PKW2446,2601.35,809.94,0.0,57.28,6.07
600,PKW2450,1996.63,1016.46,11.97,-3.42,3.93
600,PKW2452,1488.48,683.91,0.0,-135.91,6.54
600,PKW2453,1862.88,1832.26,13.89,-124.99,5.7
600,PKW2456,1761.13,582.92,5.2,-208.14,4.24
600,PKW2457,2546.72,2585.23,13.89,-41.74,6.01
600,PKW2458,2453.92,1681.14,13.89,-266.66,6.01
600,PKW2459,1900.12,1394.39,0.0,-119.57,6.0
600,PKW2461,1790.15,1032.19,6.93,-51.04,5.26
600,PKW2465,2566.03,1243.4,13.89,-263.34,6.97
600,PKW2466,2526.61,2593.78,13.89,-39.0,4.23
600,PKW2468,1830.67,1803.64,0.0,-19.14,3.74
600,PKW2469,1746.27,587.45,7.8,-209.74,6.72
600,PKW2470,2889.89,767.98,13.89,-14.88,6.64
600,PKW2473,2490.55,575.06,5.2,65.41,5.08
600,PKW2475,2031.61,1484.41,8.33,-33.73,5.33
600,PKW2476,2812.86,2989.18,13.89,-268.75,5.19
600,PKW2477,2815.22,2881.31,13.89,-268.75,3.58
600,PKW2478,2816.19,2836.91,13.89,-268.75,6.6
600,PKW2481,2328.71,2679.55,0.0,-180.32,3.82
600,PKW2482,1260.41,1403.69,0.0,-234.19,6.03
600,PKW2483,1626.9,1406.67,13.89,62.34,6.4
