time,vehicle_id,x,y,speed,angle,power
739,LKW130,2134.16,2690.59,13.75,-205.05,9.27
739,LKW138,3065.55,718.0,13.89,-14.88,10.97
739,LKW145,2560.86,1293.41,1.3,-267.95,11.65
739,LKW148,1151.23,1713.94,10.35,-264.2,8.05
739,LKW153,2424.62,1980.94,0.0,-154.22,7.57
739,LKW154,1836.34,1788.25,0.0,51.25,7.77
739,LKW156,1966.22,2618.94,8.33,11.58,7.95
739,LKW157,1996.87,1968.2,11.7,43.17,9.57
739,LKW158,2610.14,823.62,0.0,57.28,11.27
739,LKW159,2460.91,1996.22,0.0,-159.38,9.26
739,LKW160,1733.35,1609.83,13.89,62.47,8.93
739,LKW164,2425.89,1977.99,0.0,-154.14,11.08
739,LKW165,2277.8,1848.37,13.89,43.02,9.3
739,LKW166,2426.29,2670.58,13.0,-189.0,7.89
739,LKW167,2790.49,2038.67,6.5,-183.31,7.15
739,LKW169,3087.04,715.6,13.89,-14.88,9.23
739,LKW170,2469.57,889.9,13.89,-20.32,8.05
739,LKW171,1990.21,1016.85,13.89,-3.42,11.97
739,LKW173,2561.29,851.54,13.89,-25.57,11.66
739,LKW174,2414.51,2669.16,13.89,-9.78,9.31
739,LKW175,2211.65,1002.15,13.89,-197.81,11.82
739,LKW177,2073.33,1711.54,0.0,-22.28,10.3
739,LKW178,2471.38,2664.37,9.1,-199.96,11.72
739,LKW179,2090.9,1008.11,13.89,-9.85,10.82
739,LKW181,2253.06,985.24,13.81,-198.16,7.9
739,LKW182,2816.64,2816.27,13.89,-268.75,7.53
739,LKW183,2626.91,837.79,13.89,-11.96,9.13
739,LKW185,1930.24,2697.41,0.0,-34.52,8.1
739,LKW186,1453.54,1234.0,13.81,-213.16,11.7
739,LKW187,1473.17,1221.17,13.8,-213.16,9.7
739,LKW188,3154.22,2019.24,13.89,-184.0,11.28
739,LKW189,2765.32,2398.39,0.0,-42.31,10.07
739,LKW190,1387.28,1250.75,13.89,-37.45,8.83
