time,vehicle_id,x,y,speed,angle,power
270,LKW17,2379.06,884.63,11.24,-116.91,8.12
270,LKW20,2366.71,929.27,7.8,-17.94,9.55
270,LKW28,2323.42,423.56,12.89,-41.06,10.23
270,LKW33,2287.04,949.17,0.0,-18.47,8.93
270,LKW35,2800.93,2160.93,0.0,-109.52,11.38
270,LKW37,2432.29,499.92,13.89,33.84,9.29
270,LKW38,1905.1,1390.08,1.3,-119.05,7.9
270,LKW39,2350.21,934.63,6.5,-18.75,8.01
270,LKW40,1831.31,1806.8,0.0,-19.16,7.92
270,LKW41,2274.91,2675.98,0.0,0.38,9.59
270,LKW42,1860.01,2296.3,13.89,-95.2,11.66
270,LKW45,2290.04,951.54,0.61,-18.43,8.91
270,LKW46,1949.43,2691.18,6.5,-21.3,7.07
270,LKW47,1476.83,1094.7,6.5,8.36,10.53
270,LKW48,2558.35,1191.89,13.31,-86.26,10.11
270,LKW49,2830.99,2303.12,0.0,-54.81,9.66
270,LKW50,1138.67,1710.96,13.89,-72.07,10.73
270,LKW51,2275.3,956.45,8.97,-18.41,7.16
270,LKW52,1906.87,1053.72,13.89,-185.99,8.55
270,LKW53,1849.96,504.44,13.89,-26.23,8.74
270,LKW54,2183.98,1007.67,11.7,-197.8,8.05
270,LKW55,1901.28,505.29,13.89,-207.89,9.35
270,LKW56,1284.86,1082.63,13.89,2.23,9.43
270,LKW57,1747.93,590.17,3.9,-209.56,7.52
270,LKW58,2570.05,759.49,0.0,63.5,9.84
270,LKW59,1656.28,577.11,12.72,-6.73,8.81
270,LKW60,2051.18,1044.78,13.89,-183.08,9.72
270,LKW61,2441.54,924.1,6.5,-198.61,10.24
270,LKW62,1108.66,1799.97,0.0,4.34,8.38
270,LKW63,2494.24,912.98,2.63,-198.95,10.45
270,LKW64,1965.21,2622.01,0.0,-164.52,7.28
270,LKW65,1553.95,1896.45,13.89,-7.33,7.28
270,LKW66,1485.3,656.17,3.9,-10.78,7.84
270,LKW67,1582.89,593.71,13.89,-23.26,7.31
270,LKW68,1146.27,1757.64,13.89,-260.18,11.63
270,LKW69,2205.2,1004.22,10.4,-197.81,11.39
270,LKW70,2726.04,2429.82,13.89,-42.31,7.58
270,LKW71,1422.88,1933.52,0.0,-97.73,11.37
270,LKW72,1792.75,1040.13,1.3,-149.76,7.08
270,LKW73,1636.18,1424.44,13.89,62.42,7.08
270,LKW74,1984.16,1979.76,0.0,-137.3,11.13
270,LKW75,2570.39,1567.83,12.95,-168.18,11.32
270,LKW76,1234.75,844.38,13.89,-39.52,10.55
270,PKW1000,2425.32,996.83,13.89,64.16,5.05
270,PKW1001,1925.06,492.86,13.89,-207.41,5.36
270,PKW1002,1097.8,1981.67,13.89,-255.61,6.37
270,PKW1003,2805.69,2452.1,0.0,-88.68,3.96
270,PKW1004,1849.25,1063.38,13.89,-188.17,6.14
270,PKW1005,2328.73,2682.75,0.0,-180.32,3.62
270,PKW1006,2299.42,679.72,13.89,-210.6,6.99
270,PKW1007,1965.76,2659.38,0.0,64.88,4.04
270,PKW1008,2413.19,971.78,12.64,64.16,6.53
270,PKW1009,2674.23,2475.72,13.89,-38.33,4.7
270,PKW1011,1945.21,2686.54,10.4,-37.22,5.08
270,PKW1012,1494.3,1115.37,13.89,47.25,3.96
270,PKW1013,1460.88,1092.82,5.2,3.77,4.7
