time,vehicle_id,x,y,speed,angle,power
896,LKW165,4008.11,1925.49,13.89,-3.65,9.3
896,LKW167,1945.52,2614.11,6.65,68.99,7.15
896,LKW175,1103.96,1931.91,13.89,-255.61,11.82
896,LKW188,2861.09,2262.82,0.0,68.73,11.28
896,LKW190,2449.65,893.81,5.26,-20.1,8.83
896,LKW194,1800.93,1836.1,0.0,-191.03,9.56
896,LKW195,3010.66,2099.66,13.89,-24.83,9.05
896,LKW196,2325.1,936.4,13.89,-18.76,11.99
896,LKW198,2387.34,915.77,11.28,-18.35,8.15
896,LKW203,2848.03,2282.29,7.8,-45.76,10.19
896,LKW205,1121.59,1881.01,13.89,-239.05,12.0
896,LKW206,1349.93,1311.05,0.92,-215.98,8.0
896,LKW207,2362.11,927.4,13.89,-17.95,9.46
896,LKW208,762.61,1075.13,13.89,-177.77,9.68
896,LKW209,2213.36,448.26,0.0,-60.69,10.59
896,LKW210,1710.17,1058.7,8.65,-16.52,7.21
896,LKW211,2732.63,2008.06,0.0,-3.03,9.18
896,LKW212,1692.02,1054.07,12.65,-18.63,10.98
896,LKW214,2428.18,908.35,13.89,-18.83,7.17
896,LKW215,1474.48,1132.25,0.0,-128.54,8.77
896,LKW216,1835.7,1806.02,6.5,-13.39,11.0
896,LKW218,1891.4,2478.93,7.8,-129.82,11.25
896,LKW219,2247.27,2672.59,0.0,0.39,9.86
896,LKW220,1923.44,1017.62,13.89,-3.42,7.16
896,LKW221,1911.57,1402.06,8.37,-117.64,11.69
896,LKW222,1333.16,1319.28,1.3,-215.98,9.77
896,LKW223,2847.67,2040.71,0.0,-184.0,7.51
896,LKW225,2857.25,2040.03,0.0,-184.0,11.45
896,LKW226,1976.56,2686.98,10.4,-3.76,10.81
896,LKW227,2475.29,2663.09,3.35,-202.54,11.89
896,LKW228,2504.76,2008.13,13.89,-169.05,8.36
896,LKW230,1628.09,1883.13,0.0,-10.24,8.77
896,LKW231,2438.02,1987.09,0.0,-157.18,8.68
896,LKW232,2176.29,1009.96,13.89,-196.41,11.0
896,LKW233,1702.8,607.65,0.0,-182.29,8.64
896,LKW234,2584.45,845.98,0.0,-15.54,9.46
896,LKW235,1919.78,2478.78,2.8,-215.42,11.17
896,LKW236,2647.36,864.93,0.0,-196.54,9.99
896,LKW237,2662.66,863.72,0.0,-196.54,11.38
896,LKW238,2863.94,2273.6,9.1,-37.92,9.31
896,LKW239,1554.32,1127.08,0.0,-36.55,11.2
896,LKW240,2679.06,858.86,0.0,-196.54,7.64
896,LKW241,2692.08,857.67,0.0,-217.32,11.65
896,LKW242,1615.72,580.73,6.47,-15.89,7.34
896,LKW243,1930.64,1961.59,0.0,-56.95,9.56
896,LKW244,1297.67,1360.08,0.36,-227.73,11.35
896,LKW245,1409.49,1896.16,3.9,-4.17,9.98
896,LKW246,1886.96,2039.56,13.89,-240.75,8.18
896,LKW247,1566.57,2984.27,13.89,-38.46,11.64
896,LKW248,2919.26,2214.49,13.89,-240.74,9.11
896,LKW249,2823.42,813.61,13.89,-194.77,9.6
896,LKW250,2877.96,802.53,13.89,-194.77,11.2
896,LKW251,3043.71,2116.56,13.8,-205.28,7.72
896,LKW252,2971.16,774.66,13.89,-194.77,10.47
896,LKW253,395.28,1048.03,13.89,2.23,10.25
896,LKW254,3156.88,2059.58,13.89,-205.28,7.76
896,LKW255,2174.66,2818.12,13.89,-49.36,11.37
896,PKW2147,1478.57,1138.01,0.0,-109.12,4.36
896,PKW2228,1211.67,1471.56,13.89,-234.0,3.88
896,PKW2304,1297.99,1354.96,0.0,-227.72,3.7
896,PKW2398,1328.97,1210.94,13.89,-175.48,3.97
896,PKW2465,2853.06,2285.88,9.1,-46.07,6.97
896,PKW2483,1786.46,2825.95,13.89,-218.46,6.4
896,PKW2574,1323.36,1207.28,13.89,-175.48,6.67
896,PKW2625,1269.79,1396.16,7.8,-232.68,6.83
896,PKW2720,1248.14,1420.7,0.0,-234.19,4.23
896,PKW2791,2600.04,1731.49,13.89,0.26,6.9
896,PKW2828,2715.63,2008.16,0.0,6.88,4.38
896,PKW2878,1238.35,1431.68,0.0,-216.08,6.14
896,PKW2931,1881.02,1343.54,0.0,50.66,6.31
896,PKW2983,1733.38,1086.83,10.4,-168.94,6.09
896,PKW2992,1243.74,1426.79,0.0,-234.15,4.66
896,PKW3004,1252.53,1414.61,0.0,-234.19,6.99
896,PKW3047,1729.58,1090.51,10.4,-182.71,6.74
896,PKW3072,1912.79,2510.89,0.25,54.42,5.69
896,PKW3076,1266.62,3242.98,13.89,-218.46,6.99
896,PKW3083,4023.44,1921.3,13.89,-3.65,6.83
896,PKW3108,1774.96,2839.17,13.89,-218.46,3.93
896,PKW3121,1746.14,1095.26,7.8,-130.25,4.47
896,PKW3147,2663.37,919.72,13.89,58.63,3.79
896,PKW3148,1256.92,1408.53,0.0,-234.19,3.72
896,PKW3179,1770.71,1133.29,0.0,-105.84,6.64
896,PKW3191,1956.13,2638.84,0.0,64.88,5.59
896,PKW3221,1261.31,1402.44,0.0,-234.19,6.11
896,PKW3252,2960.52,1989.19,13.89,-3.65,5.02
896,PKW3253,1952.92,2631.99,0.0,66.92,5.58
896,PKW3256,1100.98,1969.3,13.89,-255.61,5.61
896,PKW3257,1913.83,2518.3,0.0,70.83,5.3
896,PKW3272,1303.09,1349.35,0.0,-227.66,6.96
896,PKW3293,1325.61,1326.31,1.94,-225.15,5.72
896,PKW3301,1274.75,1384.39,0.0,-232.58,5.58
896,PKW3306,2464.92,888.22,0.0,-20.1,4.25
896,PKW3311,2328.63,2162.39,10.89,-245.1,5.62
896,PKW3330,1777.42,1146.73,0.0,-114.43,4.02
896,PKW3336,1224.29,1454.19,13.89,-234.0,6.11
896,PKW3339,1905.7,1391.24,0.0,-119.52,6.84
896,PKW3341,3779.37,1936.89,13.89,-3.65,5.65
896,PKW3351,1918.76,2532.47,0.0,70.8,4.46
896,PKW3353,1166.85,1865.85,11.75,11.67,4.62
896,PKW3358,1163.37,1576.2,13.89,-77.18,6.11
896,PKW3372,1168.16,1558.46,11.03,-73.43,6.58
896,PKW3389,1488.48,683.91,0.0,-135.91,3.64
896,PKW3398,1955.89,2630.78,0.0,66.91,6.81
896,PKW3437,1939.74,2599.03,7.8,69.37,4.89
896,PKW3449,1341.98,1312.87,0.0,-215.98,6.0
