time,vehicle_id,x,y,speed,angle,power
424,LKW100,2337.99,957.6,13.89,-197.69,7.03
424,LKW101,1255.81,1081.5,13.89,2.23,7.41
424,LKW102,1938.91,1918.55,11.3,46.39,8.17
424,LKW103,2360.37,950.47,13.89,-197.69,11.59
424,LKW104,1132.16,1848.05,2.6,-260.58,7.76
424,LKW105,2433.54,933.4,10.35,-197.83,9.8
424,LKW106,1210.22,1462.66,13.89,-54.0,9.37
424,LKW107,1184.0,1510.31,13.89,-66.77,9.25
424,LKW108,2046.68,2382.99,13.89,-215.81,8.23
424,LKW109,2894.98,2267.94,0.0,-251.91,7.75
424,LKW110,1147.48,1644.14,13.89,-81.38,7.37
424,LKW111,2094.94,1034.54,13.89,-193.46,7.28
424,LKW112,2795.91,2875.74,13.89,-88.68,11.76
424,LKW113,672.87,1058.83,13.89,2.23,11.83
424,LKW114,1101.0,1891.96,2.6,-75.61,9.12
424,LKW115,575.72,1055.05,13.89,2.23,11.6
424,LKW116,2890.57,795.9,13.89,-194.77,8.37
424,LKW117,2787.26,3111.61,13.89,-88.68,11.17
424,LKW118,1269.07,1397.17,13.02,-232.93,9.37
424,LKW119,2075.08,588.99,8.33,-92.83,11.9
424,LKW120,1043.75,2115.05,13.89,-75.61,9.64
424,LKW33,2601.33,853.05,0.0,-7.64,8.93
424,LKW50,484.53,1064.31,13.89,-177.77,10.73
424,LKW54,2547.55,854.56,0.21,-25.59,8.05
424,LKW58,2589.85,1731.45,13.89,0.26,9.84
424,LKW61,1836.34,1788.25,0.0,51.25,10.24
424,LKW62,1554.56,1126.9,3.9,-36.55,8.38
424,LKW64,1937.41,1945.88,9.18,-54.5,7.28
424,LKW65,2708.74,1841.12,13.89,-100.4,7.28
424,LKW66,1225.56,1452.45,13.89,-234.31,7.84
424,LKW69,2386.49,922.79,13.89,-18.37,11.39
424,LKW72,2591.9,854.32,0.0,-9.91,7.08
424,LKW74,1419.15,3121.82,13.89,-218.46,11.13
424,LKW76,2562.47,529.71,1.88,3.72,10.55
424,LKW78,2113.58,1007.13,13.89,-10.57,8.91
424,LKW80,1378.04,1286.95,10.66,-215.41,10.27
424,LKW82,2419.07,904.69,13.89,-18.83,11.71
424,LKW83,2802.16,2466.49,0.0,-88.68,9.88
424,LKW85,1974.46,2655.32,0.0,64.89,10.24
424,LKW87,1714.39,1054.11,0.0,-16.51,8.7
424,LKW89,2217.92,1003.5,13.89,-197.79,9.88
424,LKW90,2457.65,517.02,13.65,34.48,10.88
424,LKW91,1851.08,1800.56,9.1,13.83,10.17
424,LKW93,1368.63,1297.56,13.89,-215.41,11.25
424,LKW94,1887.66,1805.69,11.7,-8.0,7.99
424,LKW95,1440.63,1088.69,5.2,2.23,10.63
424,LKW96,2102.31,1796.0,13.89,-223.8,10.13
424,LKW97,2808.36,2475.18,0.0,-88.68,8.81
424,LKW98,2599.21,843.09,0.0,-11.07,8.47
424,LKW99,2080.64,468.29,9.1,-175.16,11.59
424,PKW1011,1652.21,1462.04,13.89,-117.58,5.08
424,PKW1026,2455.81,894.97,13.89,-20.12,4.89
424,PKW1031,1649.69,1877.62,0.0,-28.71,6.82
424,PKW1032,1098.72,1990.97,13.89,-255.61,5.59
424,PKW1034,1145.85,1760.09,13.89,-260.18,4.3
424,PKW1041,1146.76,1785.9,4.97,-268.13,6.08
424,PKW1043,2475.35,624.84,0.0,-117.75,4.01
424,PKW1047,2348.79,847.87,13.89,-129.46,6.5
424,PKW1053,1764.38,1116.02,2.07,-122.69,3.54
