time,hex_id,num_vehicles,avg_speed,avg_sin,avg_cos,weather,label
300,0_1,1,2.32,-0.926462953239156,0.3763859671605485,1.0,1
300,0_2,1,9.02,0.92381272758126,-0.38284467393300997,1.0,1
300,0_3,2,12.7,-0.284956016495049,0.6482255242198849,1.0,1
300,0_5,1,5.2,-0.9857328610198625,-0.16831733928979656,1.0,1
300,1_0,1,9.04,0.18000412371108646,0.9836658555866438,1.0,1
300,1_1,3,5.436666666666667,-0.3192483859861748,0.12474972460529705,1.0,1
300,1_2,2,9.1,0.9301364843659778,-0.36714082706899787,1.0,1
300,1_3,5,4.496,0.7050211698849929,0.15879533540404328,1.0,1
300,1_4,6,9.298333333333334,-0.5186493605458664,0.47980880261101855,1.0,2
300,1_5,2,13.445,0.5329159409168063,-0.6670945475485901,1.0,1
300,2_1,5,12.928,0.17918142715836335,-0.2045233382960216,1.0,1
300,2_2,6,9.888333333333334,0.4665694572262151,0.17161563915618142,1.0,2
300,2_3,8,10.221250000000001,-0.2169731972737448,0.3231838422473706,1.0,2
300,2_4,3,9.48,-0.09934300944048098,-0.3229771150363598,1.0,1
300,2_5,3,10.21,0.3451815519054575,0.8607186487486295,1.0,1
300,3_2,11,12.302727272727275,-0.032553506481942926,-0.09906468156875826,1.0,3
300,3_3,2,2.69,0.16082334213274713,-0.8581094051906248,1.0,1
300,3_4,11,11.111818181818181,-0.051151004493521036,-0.37049872699280867,1.0,3
300,4_2,6,12.780000000000001,0.11655342440486105,0.3122347526047209,1.0,2
300,4_3,4,10.6875,-0.2837599635907644,0.6478069207630847,1.0,1
300,4_4,6,10.558333333333334,-0.2835260489399089,0.6471688321143931,1.0,2
300,4_5,2,13.06,0.3663385592399106,0.9304808259117499,1.0,1
300,5_2,2,9.280000000000001,0.040932758423608245,-0.018091913150952765,1.0,1
300,5_3,12,3.8241666666666667,0.38524087263083545,-0.11551464650594874,1.0,3
300,5_4,6,10.721666666666666,0.36744081159105396,0.930024818983048,1.0,2
300,5_5,1,9.15,0.923210217112981,-0.3842953226598034,1.0,1
300,6_2,1,7.69,0.8123889570229703,-0.5831159254446155,1.0,1
301,0_1,1,0.0,-0.926462953239156,0.3763859671605485,1.0,1
301,0_2,1,11.62,0.92381272758126,-0.38284467393300997,1.0,1
301,0_3,2,10.540000000000001,-0.28347456982799507,0.6474610691023944,1.0,1
301,0_5,2,3.25,-0.8918117102275012,0.4487296026576558,1.0,1
301,1_0,1,11.64,0.3051967292975832,0.9522893239063733,1.0,1
301,1_1,3,5.93,-0.3308303094015021,0.12863622392560714,1.0,1
301,1_2,2,11.7,0.9327334192701942,-0.36056663744391854,1.0,1
301,1_3,5,4.858,0.7050211698849929,0.15879533540404328,1.0,1
301,1_4,6,9.978333333333333,-0.5154993170219224,0.5339547915524344,1.0,2
301,1_5,2,13.89,0.5521551337680991,-0.6000436781459819,1.0,1
301,2_1,7,13.614285714285714,-0.055874421018532024,-0.13402243072370862,1.0,2
301,2_2,5,10.496,0.4477515472143067,0.04076374771585291,1.0,1
301,2_3,7,10.027142857142858,-0.1273808459731884,0.32210297689223644,1.0,2
301,2_4,3,9.26,0.01790409639542645,-0.7135344018033217,1.0,1
301,2_5,3,6.12,0.15306671641309672,0.9408002181858842,1.0,1
301,3_2,11,13.54,0.034091552454000126,0.08518944967663572,1.0,3
301,3_3,2,5.29,-0.33611199069724357,-0.9415713671315067,1.0,1
301,3_4,10,12.638000000000002,-0.09169133366742709,-0.5007146787539061,1.0,2
301,4_2,6,13.433333333333335,0.11379699216408655,0.3133339734873604,1.0,2
301,4_3,3,9.106666666666667,0.009344430351342359,0.7006253354816306,1.0,1
301,4_4,7,10.367142857142857,-0.19170531853986525,0.6879847526001421,1.0,2
301,4_5,2,13.8,0.3663385592399106,0.9304808259117499,1.0,1
301,5_2,3,10.116666666666667,-0.09357839399171562,-0.32270947467290284,1.0,1
301,5_3,11,4.3145454545454545,0.4535220050030707,-0.041409322792954284,1.0,3
301,5_4,6,10.08,0.367959256571678,0.9298330745069125,1.0,2
301,5_5,1,5.15,0.9253421172031084,-0.379133177300627,1.0,1
301,6_2,1,10.29,0.9089452686778486,-0.4169154573149735,1.0,1
302,0_1,2,0.0,0.00110859705101779,0.0027521682682569715,1.0,1
302,0_2,1,13.89,0.92381272758126,-0.38284467393300997,1.0,1
302,0_3,3,9.86,0.12414046140590224,0.31667650929568264,1.0,1
302,0_5,2,5.2,-0.8961272366854431,0.4394931573862806,1.0,1
302,1_1,3,6.363333333333333,-0.3668344987456318,0.1378169228843618,1.0,1
302,1_2,1,13.89,0.932639023143094,-0.36081082648764207,1.0,1
302,1_3,5,5.378,0.7049560725966137,0.15882055883982807,1.0,1
302,1_4,6,10.628333333333334,-0.4999812595579179,0.5559807295230345,1.0,2
302,1_5,2,13.89,-0.3974932182149457,-0.30144049976975434,1.0,1
302,2_1,8,13.295,-0.09421942387243716,-0.23377319420122478,1.0,2
302,2_2,6,11.703333333333333,0.5312728784664716,-0.02457872381308974,1.0,2
302,2_3,7,10.682857142857143,-0.21503494972054435,0.40223092032834923,1.0,2
